"","Año","Clave_Ent","Entidad","Cve..Municipio","Municipio","Bien.jurídico.afectado","Tipo.de.delito","Subtipo.de.delito","Modalidad","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"1",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego",0,0,0,0,0,0,0,0,0,0,0,0
"2",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca",0,0,0,0,0,0,0,0,0,0,0,0
"3",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento",0,0,0,0,0,0,0,0,0,0,0,0
"4",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado",0,1,0,0,0,0,0,0,0,0,0,1
"5",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","Con arma de fuego",0,0,0,0,0,0,0,0,0,0,0,0
"6",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","Con arma blanca",0,0,0,0,0,0,0,0,0,0,0,0
"7",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","Con otro elemento",0,0,0,0,0,0,0,0,0,0,0,0
"8",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","No especificado",0,0,0,0,0,0,0,0,2,1,1,1
"9",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","Libertad personal","Secuestro","Secuestro","Secuestro extorsivo",0,0,1,0,0,0,0,0,0,0,0,0
"10",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","Libertad personal","Secuestro","Secuestro","Secuestro con calidad de rehén",0,0,0,0,0,0,0,0,0,0,0,0
"11",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","Libertad personal","Secuestro","Secuestro","Secuestro para causar daño",0,0,0,0,0,0,0,0,0,0,0,0
"12",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","Libertad personal","Secuestro","Secuestro","Secuestro exprés",0,0,0,0,0,0,0,0,0,0,0,0
"13",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","Libertad personal","Secuestro","Secuestro","Otro tipo de secuestros",0,0,0,0,0,0,0,0,0,0,0,0
"14",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","El patrimonio","Extorsión","Extorsión","Extorsión",0,0,0,0,0,0,0,0,0,0,0,0
"15",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","Otros bienes jurídicos afectados (del fuero común)","Narcomenudeo","Narcomenudeo","Narcomenudeo",1,0,0,0,0,0,0,0,0,0,0,0
"16",2015,16,"Michoacán de Ocampo",16001,"Acuitzio","Otros bienes jurídicos afectados (del fuero común)","Amenazas","Amenazas","Amenazas",0,0,0,0,0,1,0,0,0,0,0,1
"17",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego",0,0,0,1,0,0,1,0,0,0,1,0
"18",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca",0,0,0,0,0,0,0,0,0,0,0,0
"19",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento",0,0,0,0,0,0,0,0,0,0,0,0
"20",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado",0,0,0,0,1,1,0,1,1,0,0,0
"21",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","Con arma de fuego",0,0,0,0,0,0,0,0,0,0,2,0
"22",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","Con arma blanca",0,1,0,0,0,0,0,0,0,0,0,0
"23",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","Con otro elemento",0,0,0,0,0,0,0,0,0,0,0,0
"24",2015,16,"Michoacán de Ocampo",16002,"Aguililla","La vida y la Integridad corporal","Lesiones","Lesiones dolosas","No especificado",0,0,1,1,0,0,1,2,1,3,0,1
"25",2015,16,"Michoacán de Ocampo",16002,"Aguililla","Libertad personal","Secuestro","Secuestro","Secuestro extorsivo",0,0,0,0,0,0,0,0,0,0,0,0
