entidad,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Aguascalientes,23.0,0.0,0.0,0.0,0.0,2018,1
Baja California,46.75,0.0,0.0,0.0,0.0,2018,1
Baja California Sur,168.0,0.0,0.0,0.0,0.0,2018,1
Campeche,80.5,0.0,0.0,0.0,0.0,2018,1
Colima,773.5,0.0,0.0,0.0,0.0,2018,1
Chiapas,3281.0,103.0,0.0,94.98,0.92,2018,1
Durango,1084.23,0.0,0.0,0.0,0.0,2018,1
Guanajuato,292.0,114.0,0.0,604.82,5.31,2018,1
Guerrero,4272.98,86.78,0.0,364.24,4.2,2018,1
Hidalgo,861.7,0.0,0.0,0.0,0.0,2018,1
Jalisco,22533.83,2841.2,0.0,7802.11,2.75,2018,1
México,9977.67,0.0,0.0,0.0,0.0,2018,1
Michoacán,166511.84,146751.12,0.0,173670.8,1.18,2018,1
Morelos,5442.7,0.0,0.0,0.0,0.0,2018,1
Nayarit,7058.56,0.0,0.0,0.0,0.0,2018,1
Nuevo León,681.1,0.0,0.0,0.0,0.0,2018,1
Oaxaca,3221.58,809.83,0.0,576.48,0.71,2018,1
Puebla,2974.45,0.0,0.0,0.0,0.0,2018,1
Querétaro,157.5,0.0,0.0,0.0,0.0,2018,1
San Luis Potosí,67.0,0.0,0.0,0.0,0.0,2018,1
Sinaloa,13.5,0.0,0.0,0.0,0.0,2018,1
Sonora,30.0,0.0,0.0,0.0,0.0,2018,1
Tabasco,59.0,0.0,0.0,0.0,0.0,2018,1
Tlaxcala,25.0,0.0,0.0,0.0,0.0,2018,1
Veracruz,962.0,12.0,0.0,35.0,2.92,2018,1
Yucatán,385.65,24.1,0.0,661.24,27.44,2018,1
Zacatecas,43.0,0.0,0.0,0.0,0.0,2018,1
Total,231028.04,150742.03,0.0,183809.67,1.22,2018,1
Aguascalientes,23.0,0.0,0.0,0.0,0.0,2018,2
Baja California,46.75,0.0,0.0,0.0,0.0,2018,2
Baja California Sur,168.0,0.0,0.0,0.0,0.0,2018,2
Campeche,80.5,0.0,0.0,0.0,0.0,2018,2
