entidad,municipio,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Michoacán,Acuitzio,1901.0,1428.0,0.0,1450.0,1.02,2018,1
Michoacán,Aguililla,57.0,40.0,0.0,128.0,3.2,2018,1
Michoacán,Álvaro Obregón,11.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Apatzingán,981.0,120.0,0.0,100.0,0.83,2018,1
Michoacán,Aquila,5.0,5.0,0.0,3.74,0.75,2018,1
Michoacán,Ario,16088.0,14233.0,0.0,15252.0,1.07,2018,1
Michoacán,Coalcomán de Vázquez Pallares,880.0,416.0,0.0,1289.6,3.1,2018,1
Michoacán,Copándaro,2.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Cotija,2515.0,2481.0,0.0,3643.09,1.47,2018,1
Michoacán,Charapan,1400.0,1400.0,0.0,1400.0,1.0,2018,1
Michoacán,Charo,143.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Chilchota,681.0,605.0,0.0,605.0,1.0,2018,1
Michoacán,Chinicuila,123.0,120.0,0.0,18.3,0.15,2018,1
Michoacán,Erongarícuaro,670.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Hidalgo,51.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Huiramba,209.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Indaparapeo,5.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Irimbo,182.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Jiménez,500.0,80.0,0.0,92.0,1.15,2018,1
Michoacán,Jiquilpan,150.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Juárez,40.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Jungapeo,23.5,0.0,0.0,0.0,0.0,2018,1
Michoacán,Lagunillas,29.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Madero,1590.0,790.0,0.0,880.0,1.11,2018,1
Michoacán,Maravatío,9.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Morelia,1385.0,760.0,0.0,940.0,1.24,2018,1
Michoacán,Nocupétaro,4.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Nuevo Parangaricutiro,7520.0,7320.0,0.0,6774.67,0.93,2018,1
Michoacán,Nuevo Urecho,293.35,0.0,0.0,0.0,0.0,2018,1
Michoacán,Ocampo,87.0,0.0,0.0,0.0,0.0,2018,1
Michoacán,Pajacuarán,5.39,0.0,0.0,0.0,0.0,2018,1
