Anio,Idestado,Nomestado,Volumenproduccion,Precio,Valorproduccion
1980,13,Hidalgo,3330.0,14.0,46620.0
1980,17,Morelos,1857.0,12.0,22284.0
1980,16,Michoacán,5800.0,11.0,63800.0
1980,15,México,2934.0,18.0,52812.0
1980,15,México,37016.0,18.0,666288.0
1980,14,Jalisco,6277.0,20.0,125540.0
1980,14,Jalisco,22100.0,20.0,442000.0
1980,13,Hidalgo,245.0,14.0,3430.0
1980,12,Guerrero,6265.0,6.7,41976.0
1980,12,Guerrero,2114.0,6.7,14164.0
1980,11,Guanajuato,10320.0,12.0,123840.0
1980,10,Durango,455.0,8.0,3640.0
1980,7,Chiapas,36606.0,7.2,263563.0
1980,6,Colima,792.0,8.25,6532.0
1980,4,Campeche,2112.0,4.8,10138.0
1980,3,Baja California Sur,833.0,18.79,15652.0
1980,17,Morelos,6722.0,10.0,67220.0
1980,18,Nayarit,2300.0,10.65,24496.0
1980,16,Michoacán,135421.0,11.0,1489631.0
1980,19,Nuevo León,4819.0,22.1,106500.0
1980,32,Zacatecas,416.0,10.57,4397.0
1980,31,Yucatán,5473.0,13.0,71149.0
1980,30,Veracruz,14787.0,10.09,149200.0
1980,30,Veracruz,80.0,10.19,815.0
1980,28,Tamaulipas,2380.0,11.6,27608.0
1980,18,Nayarit,5804.0,10.65,61813.0
1980,26,Sonora,413.0,3.5,1446.0
1980,25,Sinaloa,2997.0,6.0,17982.0
1980,27,Tabasco,930.0,4.0,3720.0
1980,20,Oaxaca,35.0,20.09,703.0
1980,24,San Luis Potosí,913.0,16.0,14608.0
1980,22,Querétaro,1953.0,13.0,25389.0
1980,22,Querétaro,2180.0,13.0,28340.0
1980,21,Puebla,29837.0,11.65,347720.0
1980,21,Puebla,9358.0,12.21,114224.0
1980,20,Oaxaca,36978.0,20.0,739560.0
1980,25,Sinaloa,31407.0,6.0,188442.0
1981,15,México,2608.0,23.0,59984.0
1981,16,Michoacán,137093.0,15.0,2056395.0
1981,16,Michoacán,6572.0,12.5,82150.0
1981,17,Morelos,1874.0,18.0,33732.0
1981,19,Nuevo León,6036.0,18.53,111877.0
1981,18,Nayarit,2651.0,11.41,30261.0
1981,18,Nayarit,6522.0,11.26,73418.0
1981,15,México,23796.0,23.0,547308.0
1981,17,Morelos,6480.0,16.0,103680.0
1981,14,Jalisco,3739.0,22.32,83447.0
1981,4,Campeche,2112.0,6.0,12672.0
1981,13,Hidalgo,429.0,14.85,6372.0
1981,13,Hidalgo,3432.0,14.85,50972.0
1981,12,Guerrero,5136.0,19.0,97584.0
1981,12,Guerrero,1859.0,19.0,35321.0
1981,11,Guanajuato,10823.0,14.2,153654.0
1981,10,Durango,470.0,8.9,4183.0
1981,7,Chiapas,36756.0,7.4,271994.0
1981,6,Colima,2320.0,8.5,19720.0
1981,20,Oaxaca,941.0,27.3,25689.0
1981,14,Jalisco,24705.0,22.32,551366.0
1981,1,Aguascalientes,490.0,19.17,9392.0
1981,20,Oaxaca,37643.0,27.3,1027466.0
1981,21,Puebla,22837.0,21.85,498943.0
1981,21,Puebla,20093.0,12.46,250359.0
1981,32,Zacatecas,639.0,14.21,9079.0
1981,31,Yucatán,5622.0,14.5,81519.0
1981,31,Yucatán,3000.0,14.5,43500.0
