Anio,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2003,90,Pátzcuaro,2,Villa Escalante,79,Salvador Escalante,3520.0,3520.0,0.0,45056.0,12.8,4930.0,222126080.0
2003,90,Pátzcuaro,2,Villa Escalante,9,Ario,3380.0,3380.0,0.0,22308.0,6.6,4900.0,109309200.0
2003,90,Pátzcuaro,2,Villa Escalante,9,Ario,2262.0,2262.0,0.0,28720.0,12.7,5100.0,146472000.0
2003,90,Pátzcuaro,1,Quiroga,100,Tzintzuntzan,5.0,5.0,0.0,25.0,5.0,5000.0,125000.0
2003,90,Pátzcuaro,1,Quiroga,73,Quiroga,5.0,5.0,0.0,25.0,5.0,5000.0,125000.0
2003,90,Pátzcuaro,1,Quiroga,66,Pátzcuaro,8.0,8.0,0.0,50.0,6.25,5000.0,250000.0
2003,90,Pátzcuaro,1,Quiroga,48,Lagunillas,2.0,2.0,0.0,13.0,6.5,5000.0,65000.0
2003,90,Pátzcuaro,1,Quiroga,39,Huiramba,12.0,12.0,0.0,74.0,6.17,5000.0,370000.0
2003,90,Pátzcuaro,1,Quiroga,32,Erongarícuaro,16.0,16.0,0.0,88.0,5.5,5000.0,440000.0
2003,87,Zamora,4,Cotija,95,Tocumbo,130.0,130.0,0.0,1950.0,15.0,5699.87,11114746.5
2003,87,Zamora,4,Cotija,95,Tocumbo,150.0,150.0,0.0,2550.0,17.0,6371.76,16247988.0
2003,87,Zamora,4,Cotija,91,Tingüindín,2574.0,2574.0,0.0,36036.0,14.0,5764.5,207729522.0
2003,90,Pátzcuaro,2,Villa Escalante,79,Salvador Escalante,1771.0,1771.0,0.0,10094.0,5.7,5100.0,51479400.0
2003,87,Zamora,4,Cotija,91,Tingüindín,1105.0,1105.0,0.0,18575.05,16.81,6134.46,113947901.22
2003,87,Zamora,3,Reyes Los,75,Los Reyes,2424.0,2424.0,0.0,21816.0,9.0,5677.81,123867102.96
2003,87,Zamora,3,Reyes Los,75,Los Reyes,415.0,415.0,0.0,4980.0,12.0,6081.19,30284326.2
2003,87,Zamora,3,Reyes Los,68,Peribán,10899.0,10899.0,0.0,98091.0,9.0,5712.33,560328162.03
2003,87,Zamora,3,Reyes Los,68,Peribán,1913.0,1913.0,0.0,22956.0,12.0,6178.02,141822627.12
2003,87,Zamora,2,Tangancícuaro,85,Tangancícuaro,128.0,128.0,0.0,1536.0,12.0,5634.63,8654791.68
2003,87,Zamora,2,Tangancícuaro,70,Purépero,53.0,53.0,0.0,424.0,8.0,5487.61,2326746.64
2003,87,Zamora,2,Tangancícuaro,25,Chilchota,199.0,199.0,0.0,1990.0,10.0,5345.42,10637385.8
2003,87,Zamora,1,Zamora,84,Tangamandapio,550.0,550.0,0.0,3850.0,7.0,5417.93,20859030.5
2003,87,Zamora,1,Zamora,84,Tangamandapio,25.0,25.0,0.0,300.0,12.0,5974.66,1792398.0
2003,86,Uruapan,2,Ziracuaretiro,111,Ziracuaretiro,1052.0,854.0,0.0,10248.0,12.0,6500.0,66612000.0
2003,86,Uruapan,2,Ziracuaretiro,90,Tingambato,894.0,839.0,0.0,7551.0,9.0,6500.0,49081500.0
2003,87,Zamora,4,Cotija,19,Cotija,410.0,410.0,0.0,3690.0,9.0,5585.58,20610790.2
2003,86,Uruapan,2,Ziracuaretiro,90,Tingambato,521.0,516.0,0.0,6192.0,12.0,6500.0,40248000.0
2003,90,Pátzcuaro,3,Tacámbaro,82,Tacámbaro,7625.0,7625.0,0.0,96075.0,12.6,5000.0,480375000.0
2003,90,Pátzcuaro,4,Turicato,97,Turicato,145.0,145.0,0.0,1769.0,12.2,5100.0,9021900.0
2003,93,Zitácuaro,4,Zitácuaro,112,Zitácuaro,600.0,600.0,0.0,4200.0,7.0,3000.0,12600000.0
2003,90,Pátzcuaro,3,Tacámbaro,82,Tacámbaro,150.0,150.0,0.0,1003.0,6.69,5000.0,5015000.0
2003,93,Zitácuaro,4,Zitácuaro,112,Zitácuaro,395.0,392.03,0.0,3136.24,8.0,3000.0,9408720.0
2003,93,Zitácuaro,4,Zitácuaro,61,Ocampo,15.0,15.0,0.0,105.0,7.0,3000.0,315000.0
2003,93,Zitácuaro,4,Zitácuaro,61,Ocampo,8.5,8.5,0.0,59.5,7.0,3000.0,178500.0
2003,93,Zitácuaro,4,Zitácuaro,46,Juárez,21.0,21.0,0.0,189.0,9.0,3000.0,567000.0
2003,93,Zitácuaro,3,Ciudad Hidalgo,98,Tuxpan,52.0,52.0,0.0,416.0,8.0,6400.0,2662400.0
2003,93,Zitácuaro,3,Ciudad Hidalgo,47,Jungapeo,6.0,6.0,0.0,42.0,7.0,6500.0,273000.0
2003,93,Zitácuaro,3,Ciudad Hidalgo,34,Hidalgo,22.0,22.0,0.0,154.0,7.0,6500.0,1001000.0
2003,91,Morelia,4,Queréndaro,110,Zinapécuaro,2.0,2.0,0.0,10.0,5.0,3000.0,30000.0
2003,91,Morelia,4,Queréndaro,110,Zinapécuaro,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,91,Morelia,3,Álvaro Obregón,88,Tarímbaro,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,91,Morelia,1,Morelia,49,Madero,195.0,195.0,0.0,1170.0,6.0,5000.0,5850000.0
2003,91,Morelia,1,Morelia,1,Acuitzio,357.0,177.0,0.0,1062.0,6.0,5000.0,5310000.0
2003,90,Pátzcuaro,4,Turicato,97,Turicato,200.0,200.0,0.0,1328.0,6.64,4900.0,6507200.0
2003,93,Zitácuaro,4,Zitácuaro,81,Susupuato,161.5,161.5,0.0,1130.5,7.0,3000.0,3391500.0
2003,86,Uruapan,2,Ziracuaretiro,87,Taretan,203.0,148.0,0.0,1036.0,7.0,7000.0,7252000.0
2003,86,Uruapan,2,Ziracuaretiro,111,Ziracuaretiro,376.0,316.0,0.0,3160.0,10.0,6800.0,21488000.0
2003,86,Uruapan,1,Parangaricutiro,102,Uruapan,11708.0,11708.0,0.0,103307.0,8.82,7000.0,723149000.0
2003,86,Uruapan,1,Parangaricutiro,102,Uruapan,4880.0,4791.0,0.0,43119.0,9.0,7000.0,301833000.0
2003,86,Uruapan,1,Parangaricutiro,83,Tancítaro,10466.0,10230.0,0.0,76312.0,7.46,7200.0,549446400.0
2003,86,Uruapan,1,Parangaricutiro,83,Tancítaro,4515.0,4370.0,0.0,54587.0,12.49,7100.0,387567700.0
2003,86,Uruapan,1,Parangaricutiro,58,Nuevo Parangaricutiro,1326.0,1049.0,0.0,7343.0,7.0,7000.0,51401000.0
2003,86,Uruapan,1,Parangaricutiro,58,Nuevo Parangaricutiro,4324.0,4118.0,0.0,49416.0,12.0,6500.0,321204000.0
2003,85,Apatzingán,1,Apatzingán,6,Apatzingán,339.0,229.25,0.0,1134.79,4.95,6000.0,6808740.0
2004,91,Morelia,1,Morelia,1,Acuitzio,690.0,500.0,0.0,4338.8,8.68,5000.0,21694000.0
2004,90,Pátzcuaro,4,Turicato,97,Turicato,455.0,455.0,0.0,3185.0,7.0,5000.0,15925000.0
2004,90,Pátzcuaro,4,Turicato,97,Turicato,1000.0,1000.0,0.0,10000.0,10.0,5000.0,50000000.0
2004,90,Pátzcuaro,3,Tacámbaro,82,Tacámbaro,2580.0,2580.0,0.0,30960.0,12.0,5000.0,154800000.0
2004,90,Pátzcuaro,3,Tacámbaro,82,Tacámbaro,4821.5,4821.5,0.0,57858.0,12.0,5000.0,289290000.0
2004,90,Pátzcuaro,2,Villa Escalante,79,Salvador Escalante,1771.0,1771.0,0.0,17710.0,10.0,4500.0,79695000.0
2004,90,Pátzcuaro,2,Villa Escalante,79,Salvador Escalante,3520.0,3520.0,0.0,35200.0,10.0,4000.0,140800000.0
2004,90,Pátzcuaro,2,Villa Escalante,9,Ario,4950.0,4900.0,0.0,58800.0,12.0,7000.0,411600000.0
2004,90,Pátzcuaro,2,Villa Escalante,9,Ario,3050.0,3050.0,0.0,42700.0,14.0,5500.0,234850000.0
2004,90,Pátzcuaro,1,Quiroga,100,Tzintzuntzan,5.0,5.0,0.0,45.0,9.0,8000.0,360000.0
2004,90,Pátzcuaro,1,Quiroga,73,Quiroga,5.0,5.0,0.0,40.0,8.0,5000.0,200000.0
2004,90,Pátzcuaro,1,Quiroga,66,Pátzcuaro,40.0,40.0,0.0,380.0,9.5,7000.0,2660000.0
2004,90,Pátzcuaro,1,Quiroga,39,Huiramba,12.0,12.0,0.0,72.0,6.0,4500.0,324000.0
2004,87,Zamora,4,Cotija,95,Tocumbo,135.0,135.0,0.0,1674.0,12.4,5620.0,9407880.0
2004,87,Zamora,4,Cotija,95,Tocumbo,150.0,150.0,0.0,2371.5,15.81,5895.0,13979992.5
2004,87,Zamora,4,Cotija,91,Tingüindín,2579.0,2579.0,0.0,36106.0,14.0,5600.0,202193600.0
2004,87,Zamora,4,Cotija,91,Tingüindín,1105.0,1105.0,0.0,16906.5,15.3,5900.72,99760522.68
2004,87,Zamora,4,Cotija,19,Cotija,410.0,410.0,0.0,3690.0,9.0,5589.0,20623410.0
2004,87,Zamora,3,Reyes Los,75,Los Reyes,2434.0,2434.0,0.0,21419.2,8.8,5630.0,120590096.0
2004,87,Zamora,3,Reyes Los,75,Los Reyes,415.0,415.0,0.0,4523.5,10.9,6037.23,27309409.9
2004,87,Zamora,3,Reyes Los,68,Peribán,10909.0,10909.0,0.0,94362.85,8.65,5760.0,543530016.0
2004,87,Zamora,3,Reyes Los,68,Peribán,1930.0,1930.0,0.0,21712.5,11.25,5984.84,129945838.5
2004,87,Zamora,2,Tangancícuaro,85,Tangancícuaro,170.0,170.0,0.0,1946.5,11.45,5514.0,10733001.0
2004,87,Zamora,2,Tangancícuaro,70,Purépero,53.0,53.0,0.0,397.5,7.5,5197.0,2065807.5
