Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2003,1,Aguascalientes,1,Aguascalientes,2,Calvillo,3,Calvillo,7.0,7.0,0.0,19.0,2.71,5421.05,102999.95
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,7,Amatenango del Valle,4.0,4.0,0.0,12.0,3.0,2500.0,30000.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,177,San Juan Bautista Cuicatlán,16.0,16.0,0.0,96.0,6.0,5245.0,503520.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,24,Cuyamecalco Villa de Zaragoza,10.0,10.0,0.0,35.0,3.5,2650.0,92750.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,19,Concepción Pápalo,9.0,9.0,0.0,31.5,3.5,2700.0,85050.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,545,Teotitlán de Flores Magón,16.0,16.0,0.0,56.0,3.5,2910.0,162960.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,545,Teotitlán de Flores Magón,8.0,8.0,0.0,48.0,6.0,5380.0,258240.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,490,Santiago Texcalcingo,5.0,5.0,0.0,17.5,3.5,2700.0,47250.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,434,Santa María Teopoxco,8.0,8.0,0.0,28.0,3.5,2700.0,75600.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,431,Santa María Tecomavaca,1.0,1.0,0.0,3.5,3.5,2800.0,9800.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,322,San Pedro Ocopetatillo,6.0,6.0,0.0,21.0,3.5,2700.0,56700.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,244,San Martín Toxpalan,16.0,16.0,0.0,56.0,3.5,2910.0,162960.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,244,San Martín Toxpalan,11.0,11.0,0.0,66.0,6.0,5380.0,355080.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,206,San Juan de Los Cués,6.0,6.0,0.0,21.0,3.5,3150.0,66150.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,177,San Juan Bautista Cuicatlán,5.0,5.0,0.0,17.5,3.5,2700.0,47250.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,163,San Jerónimo Tecóatl,12.0,12.0,0.0,42.0,3.5,2700.0,113400.0
2003,20,Oaxaca,108,Sierra Juárez,3,Ayutla/Mixe,554,Totontepec Villa de Morelos,15.0,15.0,0.0,60.0,4.0,5000.0,300000.0
2003,20,Oaxaca,108,Sierra Juárez,3,Ayutla/Mixe,517,Santo Domingo Tepuxtepec,80.0,80.0,0.0,320.0,4.0,5000.0,1600000.0
2003,20,Oaxaca,108,Sierra Juárez,3,Ayutla/Mixe,437,Santa María Tlahuitoltepec,10.0,10.0,0.0,40.0,4.0,5000.0,200000.0
2003,20,Oaxaca,108,Sierra Juárez,3,Ayutla/Mixe,435,Santa María Tepantlali,15.0,15.0,0.0,60.0,4.0,5000.0,300000.0
2003,20,Oaxaca,108,Sierra Juárez,3,Ayutla/Mixe,337,San Pedro Y San Pablo Ayutla,10.0,10.0,0.0,40.0,4.0,5000.0,200000.0
2003,20,Oaxaca,108,Sierra Juárez,3,Ayutla/Mixe,200,San Juan Juquila Mixes,5.0,5.0,0.0,20.0,4.0,5000.0,100000.0
