tipo,pais,anio,mes,unidades
USD,Total,2003,enero,16325868
USD,Estados Unidos de America,2003,enero,7368585
USD,El Salvador (República de ),2003,enero,1674407
USD,Japon,2003,enero,2290553
USD,Francia,2003,enero,1716184
USD,Canada,2003,enero,626184
USD,Guatemala (República de),2003,enero,759319
USD,Honduras (República de),2003,enero,811521
USD,Costa Rica (República de),2003,enero,675712
USD,España (Reino de),2003,enero,0
USD,Paises Bajos (Reino de Los),2003,enero,0
USD,Hong Kong (Teritorio de ),2003,enero,49449
USD,Singapur (República de),2003,enero,0
USD,Suecia (Reino de),2003,enero,0
USD,"Belgica, (Reino de)",2003,enero,0
USD,Reino Unido de la Gran Bretaña e Irlanda d,2003,enero,353954
USD,China (República Popular de),2003,enero,0
USD,Alemania (República Federal de),2003,enero,0
USD,Total,2003,febrero,18648676
USD,Estados Unidos de America,2003,febrero,7687280
USD,El Salvador (República de ),2003,febrero,1647932
USD,Japon,2003,febrero,1984287
USD,Francia,2003,febrero,3163311
USD,Canada,2003,febrero,1063212
USD,Guatemala (República de),2003,febrero,565100
USD,Honduras (República de),2003,febrero,790612
USD,Costa Rica (República de),2003,febrero,797559
USD,España (Reino de),2003,febrero,0
USD,Paises Bajos (Reino de Los),2003,febrero,92536
USD,Hong Kong (Teritorio de ),2003,febrero,27845
USD,Singapur (República de),2003,febrero,0
USD,Suecia (Reino de),2003,febrero,0
USD,"Belgica, (Reino de)",2003,febrero,0
USD,Reino Unido de la Gran Bretaña e Irlanda d,2003,febrero,829002
USD,China (República Popular de),2003,febrero,0
USD,Alemania (República Federal de),2003,febrero,0
USD,Total,2003,marzo,20708472
USD,Estados Unidos de America,2003,marzo,9093933
USD,El Salvador (República de ),2003,marzo,1880847
USD,Japon,2003,marzo,2099907
USD,Francia,2003,marzo,2958541
USD,Canada,2003,marzo,1073865
USD,Guatemala (República de),2003,marzo,784881
USD,Honduras (República de),2003,marzo,866795
USD,Costa Rica (República de),2003,marzo,1097076
USD,España (Reino de),2003,marzo,27584
USD,Paises Bajos (Reino de Los),2003,marzo,118625
USD,Hong Kong (Teritorio de ),2003,marzo,0
USD,Singapur (República de),2003,marzo,0
USD,Suecia (Reino de),2003,marzo,118105
USD,"Belgica, (Reino de)",2003,marzo,0
USD,Reino Unido de la Gran Bretaña e Irlanda d,2003,marzo,588313
USD,China (República Popular de),2003,marzo,0
USD,Alemania (República Federal de),2003,marzo,0
USD,Total,2003,abril,15956133
USD,Estados Unidos de America,2003,abril,7838837
USD,El Salvador (República de ),2003,abril,598463
USD,Japon,2003,abril,2286225
USD,Francia,2003,abril,1426429
USD,Canada,2003,abril,1053713
USD,Guatemala (República de),2003,abril,530089
USD,Honduras (República de),2003,abril,385523
USD,Costa Rica (República de),2003,abril,874751
USD,España (Reino de),2003,abril,186301
USD,Paises Bajos (Reino de Los),2003,abril,149372
USD,Hong Kong (Teritorio de ),2003,abril,25825
USD,Singapur (República de),2003,abril,0
USD,Suecia (Reino de),2003,abril,88707
USD,"Belgica, (Reino de)",2003,abril,0
USD,Reino Unido de la Gran Bretaña e Irlanda d,2003,abril,511898
USD,China (República Popular de),2003,abril,0
USD,Alemania (República Federal de),2003,abril,0
USD,Total,2003,mayo,7162032
USD,Estados Unidos de America,2003,mayo,1083980
USD,El Salvador (República de ),2003,mayo,109259
USD,Japon,2003,mayo,2554909
USD,Francia,2003,mayo,701170
USD,Canada,2003,mayo,1217469
USD,Guatemala (República de),2003,mayo,372578
USD,Honduras (República de),2003,mayo,0
USD,Costa Rica (República de),2003,mayo,653656
USD,España (Reino de),2003,mayo,194950
USD,Paises Bajos (Reino de Los),2003,mayo,134320
USD,Hong Kong (Teritorio de ),2003,mayo,0
USD,Singapur (República de),2003,mayo,0
USD,Suecia (Reino de),2003,mayo,0
USD,"Belgica, (Reino de)",2003,mayo,0
USD,Reino Unido de la Gran Bretaña e Irlanda d,2003,mayo,139741
USD,China (República Popular de),2003,mayo,0
USD,Alemania (República Federal de),2003,mayo,0
USD,Total,2003,junio,6679720
USD,Estados Unidos de America,2003,junio,215731
USD,El Salvador (República de ),2003,junio,76228
USD,Japon,2003,junio,2208463
USD,Francia,2003,junio,630882
USD,Canada,2003,junio,2000235
USD,Guatemala (República de),2003,junio,337191
USD,Honduras (República de),2003,junio,56805
USD,Costa Rica (República de),2003,junio,761141
USD,España (Reino de),2003,junio,198610
USD,Paises Bajos (Reino de Los),2003,junio,185255
USD,Hong Kong (Teritorio de ),2003,junio,0
USD,Singapur (República de),2003,junio,0
USD,Suecia (Reino de),2003,junio,0
USD,"Belgica, (Reino de)",2003,junio,0
USD,Reino Unido de la Gran Bretaña e Irlanda d,2003,junio,9179
USD,China (República Popular de),2003,junio,0
USD,Alemania (República Federal de),2003,junio,0
USD,Total,2003,julio,10999253
USD,Estados Unidos de America,2003,julio,313184
